Game,Genres/Tags,Companies,Languages,Original Size,Repack Size,URL
30XX: Deluxe Edition – v1.3.0 + Feline Fury DLC + Bonus OST,"Arcade, Jump and run, Run and gun, Side, 2D, Retro look",,"Genres/Tags: Arcade , Jump and run , Run and gun , Side , 2D , Retro look Company: Batterystaple Games Languages: RUS/ENG/MULTI11 Original Size: 3.7 GB Repack Size: 297/524 MB",3.7 GB,3.7 GB,https://fitgirl-repacks.site/30xx
35MM v1.1,,,Company: Sergey Noskov Languages: RUS/ENG Original Size: 2 GB Repack Size: 1.1 GB,2 GB,2 GB,https://fitgirl-repacks.site/35mm-v1-1
3D Escape Room: Detective Story – v1.1.5,"Logic, Puzzle, First-person, 3D, Detective",,"Genres/Tags: Logic , Puzzle , First-person , 3D , Detective Company: Shenzhen Zhonglian Interactive Technology Languages: RUS/ENG/MULTI7 Original Size: 4.1 GB Repack Size: 1.1 GB",4.1 GB,4.1 GB,https://fitgirl-repacks.site/3d-escape-room-detective-story
428: Shibuya Scramble,"Interactive fiction, Visual novel, 2D","Genres/Tags: Interactive fiction , Visual novel , 2D Companies: Chunsoft, Spike Chunsoft Language: ENG Original Size: 11.1 GB Repack Size: 6.4 GB",,11.1 GB,11.1 GB,https://fitgirl-repacks.site/428-shibuya-scramble
60 Minutes to Extinction: Escape Room – v1.0.1,"Logic, Puzzle, First-person, 3D, Post-apocalypse",,"Genres/Tags: Logic , Puzzle , First-person , 3D , Post-apocalypse Company: mc2games Languages: ENG/MULTI11 Original Size: 5.2 GB Repack Size: 1.5 GB",5.2 GB,5.2 GB,https://fitgirl-repacks.site/60-minutes-to-extinction-escape-room
63 Days – Build 11147,"Strategy, Tactics, Stealth, World War II, Isometric, 3D, Real-time",,"Genres/Tags: Strategy , Tactics , Stealth , World War II , Isometric , 3D , Real-time Company: Destructive Creations Languages: RUS/ENG/MULTI13 Original Size: 6.8 GB Repack Size: 4.2 GB",6.8 GB,6.8 GB,https://fitgirl-repacks.site/63-days
6days,"Exploration, Fixed camera angles, 3D, Horror",,"Genres/Tags: Exploration , Fixed camera angles , 3D , Horror Company: TechAzy Languages: ENG/MULTI3 Original Size: 13.2 GB Repack Size: 2.7 GB",13.2 GB,13.2 GB,https://fitgirl-repacks.site/6days
7 Days to Die – v2.6 (b14) + 9 DLCs/Bonuses,"Action, Shooter, Open world, Sandbox, Survival, First-person, 3D",,"Genres/Tags: Action , Shooter , Open world , Sandbox , Survival , First-person , 3D Company: The Fun Pimps Entertainment Languages: RUS/ENG/MULTI14 Original Size: 15.2 GB Repack Size: 8.5/8.7 GB",15.2 GB,15.2 GB,https://fitgirl-repacks.site/7-days-to-die
7th Domain: Tree of Chaos – v1.1.5,"RPG, Action RPG, Side view, 2D, Fantasy, Retro look",,"Genres/Tags: RPG , Action RPG , Side view , 2D , Fantasy , Retro look Company: Lightimpact Languages: ENG/MULTI4 Original Size: 2 GB Repack Size: 1.2 GB",2 GB,2 GB,https://fitgirl-repacks.site/7th-domain-tree-of-chaos
8-Bit Hordes: Complete Edition – Build 618157,"RTS, Isometric, 3D, Retro look",,"Genres/Tags: RTS , Isometric , 3D , Retro look Company: Petroglyph Games Languages: RUS/ENG/MULTI6 Original Size: 779 MB Repack Size: 430 MB",779 MB,779 MB,https://fitgirl-repacks.site/8-bit-hordes-complete-edition-build-618157
890B – v1.2.3,"Adventure, Isometric, 3D","Genres/Tags: Adventure , Isometric , 3D Companies: Nerd Games, Artax Games, Eastasiasoft Limited Languages: ENG/MULTI6 Original Size: 697 MB Repack Size: 376 MB","Genres/Tags: Adventure , Isometric , 3D Companies: Nerd Games, Artax Games, Eastasiasoft Limited Languages: ENG/MULTI6 Original Size: 697 MB Repack Size: 376 MB",697 MB,697 MB,https://fitgirl-repacks.site/890b
